City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind_Speed (mph)
saleaula,-13.4333333,-172.3333333,78.39,94.0,75.0,6.93
aquiraz,-3.9,-38.366667,84.2,70.0,20.0,11.41
mandera,3.9261111,41.8461111,84.7,53.0,79.0,2.86
taolanaro,-25.0333333,47.0,73.4,88.0,20.0,21.92
lebu,-37.616667,-73.65,54.01,71.0,100.0,8.61
linhares,-19.416667,-40.066667,75.81,79.0,0.0,9.75
albany,-35.003101,117.865952,51.8,100.0,90.0,4.7
souillac,-20.5166667,57.5166667,73.4,73.0,40.0,8.05
fare,-16.7,-151.0166667,80.42,77.0,41.0,13.44
sinnamary,5.3833333,-52.95,83.93,72.0,2.0,9.64
acapulco,16.85,-99.916667,86.0,79.0,90.0,4.7
yar-sale,66.833333,70.833333,7.66,95.0,62.0,6.33
lorengau,-2.0166667,147.2666667,79.92,77.0,100.0,3.89
vaitupu,-13.2333333,-176.15,81.77,75.0,60.0,10.36
georgetown,-7.9333333,-14.4166667,75.2,73.0,20.0,16.11
clyde river,70.45,-68.566667,15.8,72.0,90.0,12.75
sao filipe,14.9,-24.5166667,81.86,73.0,100.0,9.95
nuristan,34.95,70.4,51.6,40.0,0.0,1.79
vallenar,-28.570833,-70.758056,82.76,18.0,0.0,8.28
litokhoron,40.1005556,22.4977778,61.38,63.0,0.0,1.99
bathsheba,13.2166667,-59.5166667,87.8,66.0,40.0,11.41
tuktoyaktuk,69.45,-133.066667,6.8,84.0,40.0,12.75
faya,17.9166667,19.1166667,75.96,24.0,0.0,12.15
horsham,-36.711311,142.199814,49.95,61.0,100.0,10.18
tevriz,57.509,72.4042,40.95,96.0,100.0,9.91
louisbourg,45.916667,-59.983333,44.33,63.0,83.0,5.01
bethel,60.7922222,-161.7558333,34.84,100.0,90.0,12.75
cabedelo,-6.966667,-34.833333,82.4,69.0,40.0,10.29
dikson,73.506944,80.546389,11.79,95.0,100.0,15.35
samusu,-13.9666667,-171.3666667,82.31,77.0,2.0,13.06
illoqqortoormiut,70.4833333,-21.9666667,15.84,86.0,2.0,2.01
thompson,55.75,-97.866667,28.4,54.0,75.0,12.75
kruisfontein,-34.003333,24.731417,64.0,92.0,100.0,8.01
cozumel,20.508333,-86.945833,83.89,79.0,90.0,34.45
new norfolk,-42.78075,147.059387,47.62,65.0,100.0,1.52
amberley,-43.166667,172.733333,46.8,93.0,100.0,3.36
bom jardim,-7.016667,-46.483333,86.05,59.0,95.0,1.81
akyab,20.15,92.9,79.18,84.0,5.0,3.51
tabiauea,0.9,173.0333333,78.8,78.0,75.0,4.7
kijang,0.9,104.633333,82.02,77.0,89.0,5.88
taoudenni,22.6666667,-3.9833333,90.0,17.0,10.0,10.76
hermanus,-34.418696,19.234464,64.99,83.0,92.0,7.0
petropavlovsk-kamchatskiy,53.0452,158.6483,37.4,100.0,100.0,4.47
avarua,-21.2077778,-159.775,75.2,73.0,100.0,13.87
ndioum,16.5166667,-14.65,95.0,30.0,0.0,2.24
sumbawa,-8.5,117.433333,74.26,84.0,4.0,3.65
hit,33.6366667,42.8225,67.03,25.0,0.0,3.06
ribeira grande,38.516667,-28.7,69.8,88.0,40.0,17.22
sibiti,-3.6858333,13.3458333,71.46,99.0,100.0,1.61
panaba,21.283333,-88.266667,84.0,84.0,100.0,12.19
tucuman,-26.824144,-65.2226,86.0,23.0,0.0,8.05
mehamn,71.033333,27.85,30.2,86.0,0.0,17.22
okha,53.573889,142.947778,39.33,84.0,94.0,10.49
sungairaya,0.7,108.9,76.8,86.0,100.0,2.51
formoso do araguaia,-11.796667,-49.466944,89.78,48.0,62.0,6.51
faanui,-16.4833333,-151.75,79.97,78.0,97.0,15.68
leningradskiy,69.383333,178.416667,26.17,98.0,100.0,7.0
harper,4.375,-7.7169444,77.74,89.0,98.0,7.36
cidreira,-30.183333,-50.2,69.39,92.0,100.0,7.05
bure,10.7,37.066667,55.62,81.0,0.0,4.94
tsumeb,-19.2333333,17.7166667,83.35,22.0,97.0,27.22
santiago de cuba,20.0247222,-75.8219444,87.8,74.0,75.0,6.93
severo-kurilsk,50.678889,156.125,43.3,84.0,95.0,3.24
atagay,55.1033,99.3875,30.04,92.0,99.0,3.71
ballina,-28.86414,153.565414,64.78,82.0,90.0,11.41
haifa,32.815556,34.989167,73.0,88.0,0.0,4.32
kalmunai,7.4166667,81.8166667,80.24,79.0,83.0,3.42
tsihombe,-25.3,45.4833333,68.2,92.0,0.0,3.15
palmerston,-12.45722,130.836639,78.21,88.0,100.0,6.93
ryomgard,56.384305,10.502952,49.1,81.0,0.0,4.7
barentsburg,78.0666667,14.2333333,23.0,79.0,75.0,11.41
cayenne,4.9333333,-52.3333333,84.2,70.0,39.0,19.46
fairbanks,64.8377778,-147.7163889,29.1,100.0,90.0,5.41
port blair,11.666667,92.75,79.39,82.0,19.0,5.66
provideniya,64.383333,-173.3,30.2,74.0,90.0,0.74
vao,-22.6666667,167.4833333,73.08,83.0,1.0,17.27
seryshevo,51.093333,128.378611,36.03,83.0,100.0,8.77
mahebourg,-20.4080556,57.7,73.4,73.0,40.0,8.05
morgan city,29.6991667,-91.2066667,80.01,65.0,5.0,8.05
asau,-7.5,178.6666667,83.17,73.0,31.0,10.92
newport,44.6369444,-124.0522222,51.55,39.0,1.0,8.05
xai-xai,-25.0519444,33.6441667,72.79,87.0,0.0,9.26
carnarvon,-24.88073,113.659401,68.0,94.0,0.0,19.46
nouadhibou,20.9,-17.0666667,75.2,64.0,0.0,13.87
sorland,67.666667,12.7,46.4,93.0,75.0,23.04
upernavik,72.7833333,-56.1666667,18.03,80.0,98.0,4.61
bakel,14.9,-12.45,86.29,13.0,0.0,3.6
cherskiy,68.75,161.3,4.68,93.0,42.0,5.84
talnakh,69.4865,88.3972,1.4,84.0,40.0,2.24
igarka,67.4655,86.6027,-2.72,90.0,0.0,6.71
bredasdorp,-34.532154,20.040308,64.4,88.0,100.0,12.75
shimoda,34.666667,138.95,54.0,87.0,8.0,9.62
galbshtadt,53.2264,78.9845,46.29,73.0,100.0,18.77
puerto ayora,-0.75,-90.3166667,74.39,69.0,40.0,20.8
beyneu,45.316667,55.2,41.23,66.0,0.0,7.81
peleduy,59.628889,112.740556,18.14,96.0,85.0,1.63
roebourne,-20.772289,117.146477,68.43,77.0,27.0,7.05
buala,-8.1333333,159.5833333,79.27,79.0,100.0,2.15
japura,-1.395833,-69.422222,92.3,51.0,45.0,3.29
grand gaube,-20.0063889,57.6608333,73.0,74.0,0.0,5.01
osorno,-40.566667,-73.15,51.8,81.0,90.0,14.99
mount isa,-20.725229,139.497269,69.8,28.0,40.0,8.05
callaway,30.1527778,-85.57,84.13,70.0,75.0,5.82
gondanglegi,-8.175288,112.635935,71.73,93.0,69.0,2.26
sedelnikovo,56.946383,75.306594,42.03,96.0,100.0,8.61
lompoc,34.6391667,-120.4569444,69.28,46.0,1.0,3.36
saskylakh,71.916667,114.083333,3.72,93.0,97.0,5.82
morondava,-20.2833333,44.2833333,77.27,71.0,58.0,9.37
cockburn harbour,21.4833333,-71.5333333,86.0,66.0,75.0,11.41
vanavara,60.34,102.279722,23.04,93.0,100.0,3.24
byron bay,-28.64201,153.611938,64.51,82.0,90.0,11.41
solginskiy,61.05,41.342778,31.32,95.0,98.0,8.21
nikolskoye,55.193889,165.9925,43.9,93.0,100.0,11.54
hofn,64.25,-15.216667,37.4,59.0,0.0,16.11
bereda,11.85,51.05,70.43,75.0,71.0,4.29
tahe,52.333333,124.733333,33.4,95.0,100.0,3.38
artyom,40.472255,50.333041,59.0,93.0,20.0,6.93
severo-yeniseyskiy,60.3725,93.040833,12.74,97.0,62.0,3.04
fortuna,40.5983333,-124.1561111,66.65,22.0,1.0,6.64
ancud,-41.869722,-73.820278,47.01,100.0,90.0,16.11
liverpool,44.033333,-64.716667,51.01,80.0,96.0,1.99
marsh harbour,26.55,-77.05,82.94,72.0,0.0,7.63
broome,-17.955379,122.23922,78.8,74.0,75.0,8.05
deputatskiy,69.3,139.9,0.12,88.0,64.0,3.44
kahului,20.8947222,-156.47,79.9,61.0,1.0,5.82
andra,62.514722,65.887778,22.14,96.0,100.0,10.13
odienne,9.505114,-7.564332,76.23,55.0,99.0,0.98
getulio vargas,-27.833333,-52.266667,71.6,83.0,75.0,13.87
ciudad bolivar,8.1222222,-63.5497222,90.03,54.0,88.0,9.04
vardo,70.366667,31.1,35.6,93.0,75.0,17.22
mujiayingzi,42.116667,118.783333,36.63,68.0,0.0,9.4
quthing,-30.4,27.7166667,65.57,51.0,93.0,2.62
meulaboh,4.1363,96.1285,76.5,87.0,99.0,4.05
kutum,14.2,24.6666667,74.64,21.0,72.0,12.55
klaksvik,62.2333333,-6.6,39.2,86.0,15.0,4.7
rawson,-43.300158,-65.10228,71.13,29.0,100.0,17.83
slave lake,55.283333,-114.783333,33.8,55.0,90.0,3.36
nara,15.1666667,-7.2833333,86.34,11.0,0.0,11.07
torbay,47.65,-52.733333,39.94,44.0,40.0,12.75
ust-kan,50.9276,84.761,29.73,89.0,100.0,6.93
sitka,57.0530556,-135.33,51.8,87.0,90.0,5.82
riyadh,24.653664,46.71522,71.6,30.0,0.0,4.12
bolungarvik,66.15,-23.25,37.02,80.0,100.0,15.41
merauke,-8.466667,140.333333,77.38,88.0,99.0,10.25
yerbogachen,61.276667,108.010833,20.43,93.0,100.0,2.53
tabou,4.42295,-7.3528,78.01,89.0,87.0,7.29
tuatapere,-46.133333,167.683333,48.0,90.0,99.0,1.99
lamont,35.2597222,-118.9133333,61.12,21.0,100.0,3.0
saint combs,57.65,-1.9,46.58,87.0,75.0,8.05
pangai,-19.8,-174.35,77.0,83.0,40.0,13.87
champerico,14.3,-91.916667,84.2,79.0,40.0,6.93
cap malheureux,-19.9841667,57.6141667,73.0,74.0,0.0,5.01
maceio,-9.666667,-35.716667,84.2,70.0,20.0,16.11
severnoye,56.349121,78.361888,42.66,96.0,100.0,10.71
veraval,20.9,70.366667,82.49,59.0,0.0,3.42
qeshm,26.9581,56.2719,68.9,56.0,0.0,4.7
alta floresta,-9.9,-55.9,91.4,52.0,75.0,6.93
inverell,-29.774031,151.111664,48.69,90.0,72.0,1.99
borujerd,33.8973,48.7516,45.14,51.0,0.0,0.87
jardim,-3.433333,-39.016667,81.0,75.0,0.0,15.99
chokurdakh,70.633333,147.916667,9.14,96.0,100.0,12.46
victoria,-4.6166667,55.45,80.6,83.0,40.0,5.82
huarmey,-10.0666667,-78.1666667,68.99,70.0,100.0,11.81
ardistan,33.3761,52.3694,53.47,38.0,0.0,2.73
tura,64.283333,100.25,-3.23,92.0,87.0,5.28
haines junction,60.75,-137.5,42.73,70.0,47.0,20.02
high level,58.516667,-117.133333,28.4,58.0,90.0,2.24
amderma,69.7576,61.6655,15.22,94.0,24.0,10.85
longyearbyen,78.2166667,15.6333333,23.0,79.0,75.0,11.41
san patricio,19.216667,-104.7,89.6,75.0,20.0,11.41
constitucion,25.036944,-111.664444,81.81,37.0,0.0,17.85
pingchen,24.95,121.2,73.9,64.0,20.0,16.11
kavieng,-2.5666667,150.8,82.85,68.0,98.0,6.85
baracoa,20.3466667,-74.4958333,84.7,72.0,93.0,8.72
steamboat springs,40.485,-106.8311111,10.6,60.0,90.0,3.36
lokosovo,61.133333,74.816667,24.62,97.0,100.0,12.35
taltal,-25.4,-70.483333,64.62,63.0,42.0,7.45
kathmandu,27.7166667,85.3166667,60.8,93.0,40.0,3.36
cabo san lucas,22.883333,-109.9,88.09,51.0,5.0,14.99
batavia,42.9980556,-78.1877778,45.46,100.0,90.0,6.93
aksarka,66.560556,67.7975,4.48,95.0,63.0,7.87
airai,7.3575,134.5577778,77.0,94.0,75.0,6.26
krasnoselkup,65.7,82.466667,-0.09,91.0,0.0,9.95
chekhov,47.442778,141.978889,40.93,80.0,70.0,7.67
cabra,13.888333,120.049444,83.25,78.0,100.0,20.07
gumdag,39.2061111,54.5905556,63.82,29.0,100.0,4.21
ust-kamchatsk,56.236667,162.518889,43.59,92.0,100.0,15.17
flinders,-32.79924,134.211594,51.49,70.0,0.0,6.06
rio grande,-32.033333,-52.083333,69.01,95.0,100.0,1.01
vaitape,-16.5166667,-151.75,80.78,76.0,100.0,15.59
dedougou,12.4666667,-3.4666667,83.77,20.0,49.0,3.67
russell,-35.266667,174.116667,62.01,96.0,7.0,1.01
turukhansk,65.816667,87.983333,-0.58,89.0,0.0,7.11
north bend,43.4066667,-124.2230556,56.32,37.0,1.0,4.7
gobabis,-22.45,18.9666667,74.35,35.0,100.0,5.97
crestview,30.7619444,-86.5705556,84.36,58.0,40.0,5.82
broken hill,-31.961729,141.459976,48.2,93.0,30.0,3.36
nemuro,43.323611,145.575,49.82,75.0,54.0,9.51
sindgi,16.916667,76.233333,73.9,77.0,9.0,7.7
ahipara,-35.166667,173.166667,63.97,86.0,20.0,4.16
chemax,20.65,-87.933333,82.2,88.0,100.0,6.02
lolua,-5.6666667,176.1333333,81.77,72.0,100.0,6.73
goderich,8.4319444,-13.2897222,86.0,70.0,40.0,8.05
bagdarin,54.433333,113.6,15.37,87.0,0.0,5.59
ukiah,39.1502778,-123.2066667,69.06,10.0,1.0,4.7
sikeston,36.8766667,-89.5877778,51.8,76.0,75.0,8.05
bloomfield,36.7111111,-107.9838889,26.6,68.0,90.0,14.99
antsohihy,-14.8666667,47.9833333,77.88,72.0,0.0,1.03
kingston,41.9269444,-73.9977778,48.11,93.0,100.0,1.01
ourossogui,15.6,-13.3166667,96.8,22.0,0.0,4.7
codrington,17.6333333,-61.8333333,84.07,70.0,40.0,11.41
bentiu,9.2333333,29.8333333,75.67,81.0,90.0,4.18
acarau,-2.883333,-40.116667,81.7,73.0,0.0,16.42
saint-philippe,-21.35,55.7666667,70.97,83.0,0.0,5.82
zhanatas,43.566667,69.75,54.48,39.0,0.0,28.34
saint-pierre,46.7666667,-56.1833333,42.4,56.0,40.0,9.17
altamont,42.2069444,-121.7361111,42.49,30.0,1.0,3.36
ylojarvi,61.55,23.6,50.0,93.0,90.0,9.17
fukue,32.688056,128.841944,66.29,58.0,0.0,7.87
atikokan,48.75,-91.616667,28.11,87.0,100.0,8.14
dwarka,22.239444,68.967778,83.26,49.0,0.0,8.25
muzhi,65.366667,64.666667,6.42,95.0,98.0,8.63
guadalupe y calvo,26.1,-106.966667,65.79,40.0,0.0,12.1
bambanglipuro,-7.95,110.283333,76.6,87.0,100.0,7.83
visby,57.633333,18.3,52.2,93.0,90.0,9.17
kamenskoye,62.5,166.2,24.15,95.0,100.0,3.47
bontang,0.133333,117.5,75.74,90.0,100.0,5.93
markova,57.320556,107.088056,17.58,94.0,100.0,2.82
arshan,46.2732,44.22,44.6,75.0,100.0,11.18
pandan,14.0453,124.1694,78.64,84.0,100.0,5.48
gushikawa,26.354444,127.868611,68.29,82.0,1.0,6.93
dolores,-36.313215,-57.679185,66.07,56.0,0.0,7.2
anadyr,64.75,177.483333,15.8,92.0,40.0,4.47
katsuura,35.133333,140.3,62.01,63.0,40.0,12.75
honiara,-9.4333333,159.95,73.4,100.0,40.0,2.24
teahupoo,-17.8333333,-149.2666667,84.09,70.0,75.0,12.75
port hardy,50.716667,-127.5,44.6,93.0,90.0,9.17
newcastle,-32.927792,151.784485,57.07,100.0,90.0,10.29
namatanai,-3.6666667,152.4333333,79.95,73.0,16.0,4.45
suba,10.8438,121.0102,82.54,80.0,100.0,25.43
farafangana,-22.8166667,47.8333333,70.63,82.0,0.0,6.53
natal,-5.783333,-35.216667,83.28,69.0,40.0,12.75
adre,13.4666667,22.2,79.16,21.0,20.0,8.55
skagastrond,65.833333,-20.316667,37.72,78.0,65.0,11.05
westport,-41.75,171.566667,57.36,95.0,100.0,3.74
numan,9.466667,12.033333,80.2,30.0,43.0,0.96
karpathos,35.5,27.2333333,69.8,77.0,20.0,2.24
evanston,41.2683333,-110.9625,18.81,41.0,1.0,5.82
road town,18.4166667,-64.6166667,85.37,70.0,20.0,10.29
parabel,58.697778,81.4825,31.01,98.0,100.0,11.79
tateyama,34.983333,139.866667,61.92,63.0,40.0,12.75
nanga eboko,4.6833333,12.3666667,70.38,94.0,61.0,1.72
tupik,54.4253,119.9327,26.22,96.0,100.0,10.71
coihaique,-45.566667,-72.066667,55.4,50.0,40.0,11.41
te anau,-45.416667,167.716667,47.91,67.0,64.0,3.85
havre,48.55,-109.6833333,26.6,63.0,1.0,25.28
khatanga,71.966667,102.5,2.61,94.0,83.0,9.51
moussoro,13.6425,16.4888889,85.42,15.0,94.0,11.21
fundu moldovei,47.533333,25.4,43.0,86.0,0.0,3.15
chapais,49.783333,-74.866667,30.2,92.0,90.0,6.93
lagoa,39.05,-27.983333,68.16,88.0,100.0,24.74
da nang,16.067778,108.220833,75.2,94.0,75.0,11.7
avera,-22.45,-151.35,72.07,84.0,100.0,19.42
tiksi,71.687222,128.869444,6.13,93.0,99.0,8.01
tuxpan,21.95,-105.3,90.93,59.0,81.0,8.81
aklavik,68.216667,-135.0,12.2,92.0,75.0,6.93
saldanha,-33.01167,17.944202,62.6,77.0,25.0,3.36
lovec,43.1333333,24.7166667,53.8,87.0,5.0,3.85
vostok,48.916667,148.9,46.09,88.0,57.0,18.75
pau,43.299999,-0.366667,47.43,87.0,87.0,10.29
gwalior,26.223611,78.179167,73.29,25.0,0.0,3.8
samarinda,-0.5,117.15,73.31,96.0,99.0,2.46
alice springs,-23.697479,133.883621,55.4,35.0,0.0,4.7
fort frances,48.616667,-93.416667,29.34,42.0,90.0,9.17
yumen,39.833333,97.733333,32.65,74.0,100.0,1.72
fujinomiya,35.216667,138.616667,51.6,84.0,55.0,4.65
nouakchott,18.0863889,-15.9752778,98.6,7.0,0.0,12.75
tumannyy,68.884722,35.694444,35.78,98.0,100.0,11.18
biak,-1.166007,136.09717,80.28,80.0,69.0,5.41
namibe,-15.196111,12.152222,69.46,78.0,84.0,3.87
bambous virieux,-20.3427778,57.7575,73.22,73.0,40.0,8.05
trairi,-3.283333,-39.25,80.65,75.0,0.0,11.59
yuci,37.680278,112.731944,53.6,20.0,0.0,13.42
esik,43.355,77.463333,41.0,65.0,75.0,2.24
koungou,-12.7336111,45.2041667,78.8,78.0,90.0,4.7
at-bashi,41.1697222,75.8102778,35.85,71.0,100.0,4.63
paamiut,62.0,-49.75,33.12,88.0,100.0,33.82
nyurba,63.284167,118.331944,13.05,86.0,100.0,3.85
khorixas,-20.3666667,14.9666667,74.17,31.0,73.0,4.43
novyy oskol,50.763302,37.86402,49.26,72.0,100.0,8.52
kavaratti,10.566667,72.616667,82.56,71.0,80.0,6.96
tubruq,32.0836111,23.9763889,70.59,64.0,0.0,8.88
ulladulla,-35.359058,150.472473,51.15,93.0,90.0,11.41
kulhudhuffushi,6.6166667,73.05,82.45,75.0,51.0,6.85
juba,4.85,31.6166667,75.54,79.0,100.0,2.1
fuzhou,26.061389,119.306111,68.0,72.0,0.0,6.71
pevek,69.700833,170.313333,23.77,94.0,98.0,11.45
ampanihy,-24.7,44.75,72.45,63.0,0.0,4.72
prieska,-29.664088,22.747421,76.71,38.0,19.0,10.38
uray,60.124722,64.775833,26.73,96.0,100.0,15.55
toliary,-23.35,43.6666667,72.41,79.0,0.0,4.5
berlevag,70.85,29.1,33.8,86.0,0.0,20.8
ashington,55.163889,-1.586389,48.29,81.0,20.0,20.8
bandarbeyla,9.4833333,50.8166667,76.44,77.0,74.0,15.84
porbandar,21.633333,69.6,82.47,52.0,0.0,8.77
sept-iles,50.2,-66.383333,31.23,92.0,90.0,4.7
alofi,-19.0166667,-169.9166667,71.6,88.0,75.0,11.41
umm durman,15.6361111,32.4372222,90.68,14.0,0.0,12.75
wana,32.298889,69.5725,53.31,37.0,0.0,2.48
kankavli,16.266667,73.7,74.14,90.0,42.0,2.93
nanortalik,60.1166667,-45.2166667,34.97,87.0,100.0,11.43
langenburg,50.833333,-101.7,18.75,90.0,100.0,12.46
yaan,29.989788,103.003694,62.56,70.0,100.0,1.79
ambon,-3.695426,128.181405,82.99,90.0,92.0,5.97
amahai,-3.333333,128.916667,82.99,90.0,100.0,2.48
sosnogorsk,63.602288,53.881751,21.58,96.0,94.0,1.72
lavrentiya,65.583333,-171.0,30.34,92.0,20.0,5.57
lodeynoye pole,60.726004,33.553057,45.99,91.0,100.0,8.14
hami,42.8,93.45,37.49,66.0,100.0,3.24
eureka,40.8022222,-124.1625,65.43,22.0,1.0,8.05
yaguajay,22.3272222,-79.2377778,78.84,85.0,100.0,9.8
kaeo,-35.1,173.783333,62.01,96.0,21.0,1.01
katobu,-4.9186,122.5218,75.51,87.0,100.0,3.2
regeneracao,-6.25,-42.683333,89.6,49.0,100.0,3.11
wajir,1.7472222,40.0688889,85.96,50.0,91.0,22.64
samalaeulu,-13.4666667,-172.2666667,78.39,94.0,75.0,6.93
plaster rock,46.9,-67.383333,31.53,74.0,90.0,5.82
dezhou,37.448611,116.2925,56.25,33.0,99.0,11.23
vershino-shakhtaminskiy,51.3012,117.8868,19.96,92.0,81.0,11.61
ha giang,22.833333,104.983333,70.3,85.0,58.0,1.43
chumikan,54.718333,135.315,30.54,85.0,66.0,2.89
jining,41.0275,113.105833,27.27,77.0,1.0,4.03
akdepe,42.05,59.4,50.99,66.0,0.0,9.17
sharan,33.146667,68.791667,43.21,45.0,0.0,5.03
attawapiskat,52.916667,-82.433333,30.2,54.0,40.0,13.87
sabha,27.0333333,14.4333333,72.14,29.0,20.0,9.37
tigzirt,36.8938889,4.1225,60.85,64.0,1.0,11.3
olga,43.744444,135.289167,37.62,79.0,0.0,3.76
salinopolis,-0.616667,-47.333333,83.28,72.0,9.0,11.95
kashima,35.966667,140.633333,50.9,81.0,75.0,5.82
bengkulu,-3.8,102.266667,74.62,85.0,100.0,3.91
port-cartier,50.016667,-66.866667,31.15,92.0,90.0,4.7
sangar,63.924167,127.473889,17.02,97.0,100.0,3.36
chontalpa,17.7,-93.516667,82.22,73.0,98.0,4.07
litoral del san juan,4.258748,-77.365164,80.78,83.0,96.0,6.93
esperance,-33.86013,121.882591,55.4,87.0,0.0,5.82
houston,54.4,-126.65,28.4,86.0,75.0,5.53
hulan,45.983333,126.6,42.01,54.0,0.0,9.93
kieta,-6.2166667,155.6333333,79.14,76.0,60.0,2.73
lakhnadon,22.6,79.6,68.68,57.0,6.0,2.57
sydney,-33.861481,151.205475,56.5,95.0,92.0,3.0
hambantota,6.1166667,81.1166667,78.8,94.0,40.0,2.24
qibili,33.704387,8.969034,70.77,26.0,0.0,5.75
